image,ground_truth,prediction,confidence,CER
0_0_596_245_953_273_937_422_565_413.jpeg,শিলিগুড়ি,,0.0,1.0
0_1_990_288_1236_288_1242_400_996_422.jpeg,টাউন,,0.0,1.0
1_1_438_167_463_172_468_191_437_188.jpeg,প্রভুকে,,0.0,1.0
1_2_493_179_515_179_515_201_487_195.jpeg,করো,করো!,0.67,0.3333
1_3_462_176_490_177_489_194_462_193.jpeg,প্রণাম,,0.0,1.0
3_0_2323_991_2515_987_2519_1134_2310_1134.jpeg,হবিবপুর,,0.0,1.0
3_1_2171_352_2489_473_2445_691_2197_595.jpeg,রেশন,,0.0,1.0
3_2_2458_687_2537_504_2859_743_2724_930.jpeg,দোকান,,0.0,1.0
3_3_2445_852_2541_843_2567_995_2450_1000.jpeg,চন্দ্র,,0.0,1.0
3_4_2210_839_2424_834_2441_995_2223_1008.jpeg,-গোলাপ,,0.0,1.0
3_5_1988_826_2223_826_2215_973_1988_987.jpeg,ডিলার-,,0.0,1.0
3_6_1832_852_2006_873_2001_1000_1832_1000.jpeg,আর,,0.0,1.0
3_7_1540_1008_1893_1013_1840_1173_1540_1208.jpeg,আকতৈল,,0.0,1.0
3_8_1853_1030_2032_1026_2001_1130_1823_1152.jpeg,গ্রাম,,0.0,1.0
3_9_1732_1173_1988_1182_2019_1269_1736_1304.jpeg,লাইসেন্স,,0.0,1.0
3_10_2023_1169_2084_1182_2106_1265_2014_1260.jpeg,নং -,,0.0,1.0
3_11_1862_1291_2158_1274_2184_1387_1849_1421.jpeg,সকাল -,,0.0,1.0
3_12_2458_1239_2654_1239_2663_1334_2458_1356.jpeg,বিকাল -,,0.0,1.0
3_13_2606_1339_2680_1339_2663_1391_2606_1413.jpeg,টা,,0.0,1.0
3_14_2667_1352_2767_1334_2776_1391_2672_1421.jpeg,পর্যন্ত,,0.0,1.0
3_15_1940_1408_2110_1395_2106_1500_1962_1513.jpeg,হইতে,,0.0,1.0
3_16_2833_400_3046_413_3042_578_2828_573.jpeg,নোটিশ,,0.0,1.0
3_17_3050_452_3207_473_3185_591_3028_595.jpeg,বোর্ড,,0.0,1.0
3_18_3011_913_3216_860_3216_960_2989_1017.jpeg,ধর্মঘট,,0.0,1.0
3_19_1549_1308_1839_1308_1839_1456_1549_1456.jpeg,সময় :,,0.0,1.0
3_20_2646_982_2798_991_2815_1113_2632_1117.jpeg,মালদা,,0.0,1.0
3_21_1640_869_1836_869_1845_1017_1658_995.jpeg,এম,,0.0,1.0
3_22_2432_1360_2563_1360_2563_1439_2450_1452.jpeg,হইতে,হত,0.0,0.5
3_23_1444_634_1775_447_1884_739_1605_913.jpeg,নায্য,,0.0,1.0
3_24_1766_439_2158_334_2206_656_1910_778.jpeg,মূল্যের,,0.0,1.0
4_0_420_952_522_948_534_986_428_988.jpeg,অনুমতী,,0.0,1.0
4_1_607_944_653_946_653_970_611_973.jpeg,হয়,,0.0,1.0
4_2_662_939_685_939_684_966_660_970.jpeg,না,,0.0,1.0
4_3_512_900_592_902_583_931_520_940.jpeg,খাবার,,0.0,1.0
4_4_423_902_507_904_507_940_428_939.jpeg,বাইর,,0.0,1.0
5_0_114_52_207_48_204_96_108_101.jpeg,নুঙ্গি,৪. ডি,0.24,0.8333
6_0_337_220_527_197_533_279_329_298.jpeg,আসানসোল,,0.0,1.0
6_1_640_206_756_193_756_242_638_256.jpeg,নিগম,নিগম,0.91,0.0
6_2_548_216_628_210_634_260_537_263.jpeg,পৌর,,0.0,1.0
7_0_110_53_327_48_336_108_105_122_104_71.jpeg,কোলাঘাট,,0.0,1.0
8_0_389_131_425_131_425_145_389_145.jpeg,রামজী,,0.0,1.0
9_0_174_37_180_73_28_140_24_108.jpeg,বেগুনকোদর,,0.0,1.0
10_0_40_249_67_255_278_298_278_360_14_309.jpeg,হোটেল,,0.0,1.0
10_1_284_300_507_352_513_405_272_362.jpeg,সিদ্ধেশ্বরী,,0.0,1.0
10_2_525_352_658_374_660_433_521_415.jpeg,আশ্রম,,0.0,1.0
10_3_568_133_701_161_695_221_558_192.jpeg,আশ্রম,,0.0,1.0
10_4_619_204_679_219_660_247_599_231.jpeg,সেবায়,,0.0,1.0
10_5_347_468_413_470_411_499_343_495.jpeg,সিদ্বেশ্বরী,,0.0,1.0
10_6_351_120_431_124_429_178_355_167.jpeg,১৯৩,,0.0,1.0
10_7_480_169_634_190_611_227_486_219.jpeg,আপনাদের,,0.0,1.0
10_8_366_427_447_431_431_464_351_468.jpeg,হোটেল,,0.0,1.0
11_0_245_342_275_340_275_358_248_361.jpeg,কমিটি,,0.0,1.0
11_1_142_110_187_110_187_137_142_137.jpeg,যার,,0.0,1.0
11_2_187_112_233_112_233_140_187_140.jpeg,যার,,0.0,1.0
11_3_102_137_176_137_176_165_102_165.jpeg,উৎসব,,0.0,1.0
11_4_212_341_242_341_242_361_212_361.jpeg,পূজা,,0.0,1.0
11_5_157_363_188_365_188_376_155_377.jpeg,জাতীয়,,0.0,1.0
11_6_98_102_140_102_140_129_102_127.jpeg,ধর্ম,,0.0,1.0
11_7_95_235_264_241_264_290_89_283.jpeg,দুৰ্গোৎসব,,0.0,1.0
11_8_96_207_177_213_174_235_99_239.jpeg,শারদীয়,,0.0,1.0
11_9_116_363_153_361_158_374_115_381.jpeg,কেশ্বরী,,0.0,1.0
11_10_171_140_238_140_238_168_171_168.jpeg,সবার,,0.0,1.0
11_11_189_363_216_363_216_376_189_376.jpeg,মন্দির,,0.0,1.0
11_12_150_344_206_344_206_360_150_360.jpeg,সার্বজনীন,,0.0,1.0
12_0_93_197_197_197_205_236_82_245.jpeg,শিয়ালদহ,,0.0,1.0
13_0_733_342_733_405_675_432_643_412.jpeg,অন্য,,0.0,1.0
13_1_641_246_824_239_832_316_634_318.jpeg,শনিবারের,,0.0,1.0
13_2_733_355_738_287_617_374_656_410.jpeg,খোয়াই,,0.0,1.0
13_3_733_342_752_294_834_381_798_403.jpeg,বনের,,0.0,1.0
13_4_747_350_827_412_776_449_740_417.jpeg,হাট,,0.0,1.0
13_5_622_451_684_446_682_466_634_483.jpeg,এখানে,,0.0,1.0
13_6_627_475_699_480_694_507_631_504.jpeg,পরিচালিত,,0.0,1.0
13_7_631_509_706_509_704_541_636_541.jpeg,স্থাপিত,,0.0,1.0
13_8_788_512_834_519_832_536_791_541.jpeg,সাল,,0.0,1.0
13_9_718_509_774_516_769_541_718_533.jpeg,২০০,,0.0,1.0
