image,ground_truth,prediction,confidence,CER
40_1_0_625_1188_664_1200_796_777_797_0_803.jpeg,অনশন,732142329446[1_6* ?/6স ১,0.1192041679142504,6.0
52_0_860_54_883_121_1143_204_1137_144.jpeg,হেমেন,"১৭9 ্যেজ্ঞ সেতার, সরোদ  তামনপুরা",0.4048158290648141,5.8
321_2_310_334_566_264_556_429_316_485.jpeg,বোড্,"""75 '0{ঋী/9; বোড় 050}",0.0789213858522665,4.75
30_11_115_350_416_309_428_450_144_507.jpeg,গোপন,গখ]ক] পরিচাননায় অি,0.2253498208872648,4.0
151_11_195_406_671_444_644_648_233_711.jpeg,ব্রিগেড,"4["">40{04614|""6( <_0 ব্রগেড",0.066301872779844,3.142857142857143
237_11_184_96_510_168_510_213_208_171.jpeg,দক্ষভারতী,ছেটদের বহয়ের দুগ্্ধডরতী স্শ্রত্য,0.4105697215874412,3.111111111111111
261_2_383_416_422_416_422_437_385_439.jpeg,আর,'ড়াাব,0.1375885497099426,3.0
284_8_231_45_379_56_371_228_247_220.jpeg,আ,")""&",0.0408786433404227,3.0
315_3_663_756_1140_730_1146_876_679_893.jpeg,বাংলা,বংজ ক=৫ & ৩তখচহ,0.3788874626626853,2.8
190_2_566_308_849_300_849_432_520_413.jpeg,মহামিছিল,"58[11|444|1415 মতীমাচৃ""",0.1385087606613723,2.625
315_0_708_238_992_238_989_299_708_286.jpeg,বাংলা,][:গ]] 1=3[6মা,0.0575854943423033,2.6
200_66_150_61_238_66_247_114_141_119_136_119.jpeg,বাংলা,বাংলা | কবে দেখাব],0.4156493082497265,2.6
56_1_161_201_161_224_97_258_89_227.jpeg,কেবিন,{বন {ঞ012431ল,0.0428474207582053,2.6
346_15_390_321_461_321_461_337_390_337.jpeg,জেলা,মে}তয6*[[{|,0.0018266990262723,2.5
152_0_396_456_688_354_713_482_402_571.jpeg,বাঙালি,"|6 9^0<""4 ালি বাঙ",0.6001979188469737,2.333333333333333
10_0_40_249_67_255_278_298_278_360_14_309.jpeg,হোটেল,9 হোটেল ?হু হ=গ[,0.3814218656182663,2.2
136_0_489_260_681_278_665_359_513_381.jpeg,নায়ক,6|্য 5?0 ৩ঐ=,0.2407783287934428,2.2
350_10_241_259_311_263_309_293_240_289.jpeg,পরিবেশ,400;][[9 পাসলেণ,0.0419835682231427,2.1666666666666665
284_1_151_217_271_230_276_399_175_400.jpeg,খ,9),0.1152274930905733,2.0
336_3_264_229_325_272_278_322_236_295.jpeg,স,"৬""",0.0313718164138633,2.0
284_7_301_43_450_46_453_205_325_219.jpeg,হ,9),0.5469170397493156,2.0
232_3_298_584_327_584_327_609_295_611.jpeg,ও,[ ও,0.1729521378828717,2.0
232_2_315_614_335_611_345_629_322_634.jpeg,ও,[ ও,0.4915905408609856,2.0
238_1_612_408_643_405_643_422_615_425.jpeg,মদন,৪|গ৫]|,0.0323230716304414,2.0
13_3_733_342_752_294_834_381_798_403.jpeg,বনের,96^ [লিে,0.0399796932070465,2.0
232_12_1125_313_1329_415_1306_522_1103_440.jpeg,ঘোষ,ঘোষ প্রা:,0.690347869210985,2.0
284_11_21_439_141_430_146_583_43_600.jpeg,চ,0),0.2267482306998405,2.0
284_4_320_8_455_14_450_169_362_172.jpeg,ই,ছ্,0.1049596060477009,2.0
284_3_187_28_347_34_337_194_186_195.jpeg,আ,৩া,0.0661755203329586,2.0
134_15_290_161_346_163_348_187_290_183.jpeg,আপ,০য :,0.1753471195697784,2.0
167_4_235_322_281_322_281_340_235_340.jpeg,অল,৩|ভ},0.0137583194300532,2.0
80_7_125_637_269_645_257_839_125_823.jpeg,স,`[,0.1323369991622064,2.0
336_13_715_235_747_229_752_263_733_269.jpeg,প,9|,0.3190900985719541,2.0
80_2_266_426_402_445_398_630_261_617.jpeg,ল,ল্ে,0.4894282221794128,2.0
336_16_761_266_800_270_790_314_759_297.jpeg,গ,5|,0.37067411700844,2.0
80_8_271_647_384_638_384_847_262_835.jpeg,হ,9),0.8192779451219766,2.0
71_1_305_315_525_361_526_406_291_367.jpeg,সিদ্বেশ্বরী,"40| ৭, দেেপ্বরা ৮ষ৭ধ৫ 700",0.3864145577245681,1.9090909090909087
160_6_400_412_628_423_631_531_405_531.jpeg,শুভেন্দু,7{433]044 গু্ঞনগু,0.1603985007578593,1.875
94_14_129_67_898_101_882_169_180_175.jpeg,অঞ্জনা,9 08&?9| ভস,0.1373773059352029,1.8333333333333333
10_2_525_352_658_374_660_433_521_415.jpeg,আশ্রম,9হ 033 7=,0.1061807572078049,1.8
92_12_454_571_650_613_660_665_454_625.jpeg,সরকার,3ম_{ছ5 মরকারে,0.1575164184826496,1.8
350_0_154_148_259_157_249_204_147_196.jpeg,ভারত,58[131[,0.0012902450410704,1.75
208_33_320_476_426_490_430_535_320_538.jpeg,তৃণমূল,]1240|77 তণমূল,0.4079271289651469,1.6666666666666667
109_19_201_279_244_279_244_294_201_294.jpeg,কংগ্রেসের,1436{16;%1[104[,0.0005840869931002,1.6666666666666667
297_2_7_282_140_291_136_324_9_328.jpeg,অভিযান,^/470[! অভ,0.5568036947940436,1.6666666666666667
64_3_318_441_365_451_365_476_315_473.jpeg,করা,ব্র$ব্া,0.111474276425617,1.6666666666666667
357_0_411_88_465_84_455_103_415_106.jpeg,আলো,"""91[0",0.0413859656062855,1.6666666666666667
71_0_27_307_32_254_280_311_278_355.jpeg,হোটেল,২৯৭ হোটেল হহু,0.3101274048960449,1.6
18_5_4_307_57_305_60_326_4_331.jpeg,অসমের,01াস[01[4,0.0342696802577431,1.6
230_1_263_277_632_245_632_388_262_399.jpeg,জুয়ে,ভুগ ৩৬স0ৈ,0.1911020896954797,1.6
221_1_636_492_1110_556_1063_671_626_611.jpeg,অধিবেশন,অশিয়েশান !১ত [দ ,0.1718410600017391,1.5714285714285714
10_7_480_169_634_190_611_227_486_219.jpeg,আপনাদের,~(@ [6- আপলাে দের,0.3126814104053597,1.5714285714285714
9_0_174_37_180_73_28_140_24_108.jpeg,বেগুনকোদর,"বেগুনকোদর ?"" ও{6গভ&ো|4ণ",0.2191258202093352,1.5555555555555556
10_1_284_300_507_352_513_405_272_362.jpeg,সিদ্ধেশ্বরী,"৯৭, 700 ২০৮ ৫ষ৭<৫",0.3616464237414852,1.5454545454545454
191_31_1418_482_1472_482_1479_521_1433_525.jpeg,এক,দরঢ,0.0478895672850353,1.5
113_1_898_258_969_256_971_279_896_279.jpeg,থাকো,8[৫ ]},0.0368650329699654,1.5
342_1_286_8_368_46_342_78_283_49.jpeg,শিক্ষা,0404 শশিক,0.1957957344956206,1.5
230_0_8_285_241_277_228_396_4_397.jpeg,কো,৫%],0.08381007252867,1.5
267_4_375_563_465_570_458_631_371_629.jpeg,না,0||,0.1061379805565885,1.5
90_2_370_251_431_244_430_272_376_271.jpeg,জল,ডাট,0.2061138988856209,1.5
315_1_333_236_683_240_683_306_329_293.jpeg,আমার,]]=]ঢ],0.0817000318908191,1.5
347_5_39_188_65_188_63_202_40_203.jpeg,উপ,ঊপ |,0.6044458850270576,1.5
207_14_753_592_775_598_775_612_749_606.jpeg,নং,477ং,0.0105822570621967,1.5
274_11_1057_503_1125_485_1143_524_1078_551.jpeg,করতে,4[{0]],0.0554117975812422,1.5
165_1_1259_1623_1590_1623_1590_1750_1259_1750.jpeg,মাসে,8|||0স,0.3441217677734773,1.5
23_3_1173_776_1410_782_1404_853_1202_847.jpeg,একডালিয়া,743333114421{,0.0781088578426473,1.4444444444444444
262_3_389_158_454_192_451_226_388_199.jpeg,সংগ্রাম,431111 ংয্রায়,0.0567759245074366,1.4285714285714286
144_0_90_185_145_185_151_222_90_220.jpeg,মসজিদ,1]'00) মসজিদ,0.4860621483436189,1.4
206_3_91_246_148_247_145_270_91_267.jpeg,গোপাল,[]খ]]ভ],0.0823772163260829,1.4
328_20_251_223_321_226_313_258_250_253.jpeg,এসো,েরমেো,0.1775071284927546,1.3333333333333333
70_4_604_39_633_35_633_47_610_49.jpeg,করো,২১৫],0.1114668324589729,1.3333333333333333
350_4_433_207_534_207_541_234_439_238.jpeg,বোস,৫ে-সা,0.0723256256839411,1.3333333333333333
3_18_3011_913_3216_860_3216_960_2989_1017.jpeg,ধর্মঘট,৫ঞওঞহঙ ধর্যঘট,0.2525460321540066,1.3333333333333333
152_1_72_572_388_477_383_583_55_652.jpeg,কলকাতা,"9|995""4 কলকাতা",0.2841843483032756,1.3333333333333333
151_21_657_471_846_473_840_573_646_595.jpeg,চলো,চভ্|ী,0.1587643690516771,1.3333333333333333
302_6_738_399_877_399_877_431_738_431.jpeg,আটক,তচচভ,0.0495923496782779,1.3333333333333333
309_1_525_891_747_891_747_985_525_985.jpeg,আসল,পাসতা,0.3675383580658765,1.3333333333333333
267_2_223_560_362_560_350_631_230_629.jpeg,হয়,9)][,0.1163743808865547,1.3333333333333333
235_58_3106_1406_3171_1406_3171_1445_3139_1445_3106_1445.jpeg,আছে,9||0,0.2589438557624817,1.3333333333333333
260_1_127_257_614_267_587_434_138_407.jpeg,সামিয়ানা,@৬_~[১0 সমযানও,0.2074100810159664,1.3333333333333333
264_4_26_171_56_171_56_189_26_189.jpeg,আমি,স্রামি,0.3017709890203353,1.3333333333333333
13_9_718_509_774_516_769_541_718_533.jpeg,২০০,4914,0.0119701605290174,1.3333333333333333
262_2_426_146_440_120_500_176_492_197.jpeg,স্বাধীনতার,0> {ম্বধীনতয়ী ৭ ৩,0.0869010437884287,1.3
197_7_279_427_640_446_645_614_306_566.jpeg,শুভেন্দু,দ9ভব? জোবেন,0.3086977343137669,1.25
